"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
82,"4355 Rue Fullum , Montréal","NON","0","Électricité",299508.41464517,5044140.0712995,-73.567755,45.537156
83,"2335 Rue Gilford , Montréal","NON","0","Électricité",299048.03471799,5044413.7477213,-73.573653,45.539615
84,"4375 Rue Ontario E, Montréal","4","1","Électricité",301639.73079499,5045989.6298632,-73.540477,45.553812
85,"5252 Avenue Decelles , Montréal","NON","0","Électricité",295432.9284562,5039710.2636282,-73.619854,45.497252
86,"4920 Rue Vézina , Montréal","1","0","",293560.42806119,5039407.6144093,-73.643806,45.494501
87,"2980 Rue Viau , Montréal","1","3","Électricité",300873.44545961,5046912.5689674,-73.550299,45.562113
88,"4101 Rue Sherbrooke E, Montréal","2","4","",300402.2189929,5046313.7711571,-73.55633,45.556722
89,"4101 Rue Sherbrooke E, Montréal","1","0","",300372.58278259,5046360.2456439,-73.55671,45.55714
90,"4955 Avenue Trenholme , Montréal","NON","0","Électricité",293132.78571229,5035342.2419221,-73.649181,45.457912
91,"4101 Rue Sherbrooke E, Montréal","NON","0","",300307.39631722,5046469.7562165,-73.557546,45.558125
92,"4455 Boulevard Pie-IX , Montréal","2","0","",300333.07333439,5046241.0341347,-73.557215,45.556067
93,"4493 Rue Ontario E, Montréal","NON","0","Électricité",301652.13626683,5046140.6544437,-73.540319,45.555171
94,"1111 Rue Peel , Montréal","NON","0","",299398.5635322,5039820.3942607,-73.569114,45.498285
95,"1000 Avenue Émile-Journault E, Montréal","7","6","Électricité",294083.05805216,5045892.6505004,-73.637261,45.552864
96,"411 Avenue Letourneux , Montréal","1","0","Électricité",302372.61043826,5045551.6675806,-73.531088,45.549874
97,"4601 Rue Sherbrooke E, Montréal","NON","0","Mazout no. 2",300239.97455739,5046937.1113368,-73.558414,45.56233
98,"4200 Rue Ontario E, Montréal","NON","1","Électricité",301656.12845324,5045695.9015055,-73.540265,45.551169
99,"4601 Rue Sherbrooke E, Montréal","1","0","Électricité",300485.33730385,5046838.2617935,-73.55527,45.561442
100,"4120 Rue Ontario , Montréal","1","1","Électricité",301631.58145578,5045632.795413,-73.540579,45.550601
101,"1875 Avenue Morgan , Montréal","NON","0","Électricité",301810.92465665,5045949.3159711,-73.538284,45.55345
102,"959 Rue de Louvain E, Montréal","NON","0","",293165.18510947,5046143.9947662,-73.649023,45.555111
103,"4370 Rue Sainte-Catherine E, Montréal","NON","0","Électricité",302222.91994434,5045719.3137658,-73.533006,45.551382
104,"2111 Rue Saint-Zotique E, Montréal","3","1","Électricité",297136.0743647,5045284.8418201,-73.598149,45.547435
105,"1500 Rue des Carrières , Montréal","NON","1","",297850.76646449,5044209.9180427,-73.588981,45.53777
106,"1400 Rue des Carrières , Montréal","NON","0","",297760.43087437,5044097.8872268,-73.590136,45.536761
107,"1610 Rue des Carrières , Montréal","NON","0","",297906.19516844,5044267.9836486,-73.588272,45.538293
109,"1351 Rue des Carrières , Montréal","NON","0","",297795.45323701,5044053.8429746,-73.589687,45.536365
110,"1600 Rue De Drucourt , Montréal","1","0","Électricité",297350.51416308,5044578.0035792,-73.595392,45.541077
111,"1220 Rue des Carrières , Montréal","NON","0","Électricité",297622.4612418,5043919.4600008,-73.5919,45.535154
113,"1350 Rue des Carrières , Montréal","NON","0","Électricité",297781.70328918,5043979.5057978,-73.589862,45.535696
114,"1620 Rue des Carrières , Montréal","NON","0","",297978.42569826,5044258.4527285,-73.587347,45.538208
115,"9175 Rue Hochelaga , Montréal","NON","0","Électricité",303433.32777007,5051896.1000973,-73.517521,45.606966
116,"5425 Rue de Mentana , Montréal","NON","0","Électricité",297684.670064,5043606.7798134,-73.591099,45.532341
117,"1500 Rue des Carrières , Montréal","NON","0","",297860.48298432,5044170.2342115,-73.588856,45.537413
118,"1555 Rue des Carrières , Montréal","NON","0","Électricité",297774.53549993,5044277.0145205,-73.589958,45.538373
119,"2150 Rue Liébert , Montréal","NON","?","",303320.20207445,5050507.9660813,-73.518967,45.594475
120,"6855 Avenue Papineau , Montréal","NON","0","Électricité",296839.45656373,5045117.9557083,-73.601945,45.54593
121,"5353 Avenue Gatineau , Montréal","NON","0","Électricité",295268.04455861,5039727.3952822,-73.621964,45.497404
125,"4160 Chemin de la Côte-des-Neiges , Montréal","NON","0","",296866.05739263,5039480.3514316,-73.601513,45.495201
127,"100 Avenue Vincent-D'Indy , Outremont","NON","0","",296116.21920541,5041118.6395985,-73.611136,45.509934
128,"1100 Voie Camillien-Houde , Montréal","NON","0","Électricité",297795.4449887,5040965.9548577,-73.589643,45.508579
129,"3533 Avenue de Kent , Montréal","NON","0","Électricité",294401.97930781,5040270.64773,-73.633057,45.50228
131,"6262 Chemin Hudson , Montréal","NON","0","",294652.06009276,5040662.7555856,-73.629865,45.505812
132,"4905 Avenue Saint-Kevin , Montréal","NON","0","Électricité",294406.22719211,5038868.6123719,-73.632973,45.489664
133,"7501 Rue François-Perrault , Montréal","1","0","Électricité",296898.20109193,5046872.4250917,-73.601221,45.561718
134,"4770 Circle Road , Montréal","NON","0","Électricité",295416.3328383,5038179.5758496,-73.620037,45.483478
135,"4900 Avenue Van Horne , Montréal","NON","0","Mazout no. 2",293968.6621154,5039139.8485581,-73.638577,45.492098
137,"3465 Avenue Benny , Montréal","2","0","Électricité",294792.96612691,5036206.1953316,-73.627971,45.465712
138,"2140 Avenue Madison , Montréal","NON","1","Électricité",295421.21584317,5035949.0705077,-73.619932,45.463407
141,"969 Rue de Louvain E, Montréal","NON","0","",293195.4811853,5046272.0771318,-73.648638,45.556264
142,"6767 Chemin de la Côte-des-Neiges , Montréal","NON","3","Électricité",294102.63956156,5040383.3886144,-73.63689,45.50329
143,"1266 Rue des Carrières , Montréal","NON","4","Gaz naturel",297690.50987388,5043939.3819241,-73.591029,45.535334
146,"9310 Boulevard Gouin O, Montréal","NON","0","",285026.31301557,5041170.4546009,-73.753067,45.510174
148,"6800 Rue Sherbrooke O, Montréal","3","0","Électricité",294454.11693246,5035670.9836601,-73.632293,45.460891
149,"3150 Boulevard des Trinitaires , Montréal","NON","0","",296984.23930783,5034015.6138442,-73.599914,45.446028
150,"5260 Avenue Van Horne , Montréal","NON","0","Électricité",293735.54812272,5038898.765283,-73.641554,45.489925
151,"3755 Rue Botrel , Montréal","1","1","Électricité",295859.10260432,5037298.2207601,-73.614357,45.475553
152,"5311 Chemin de la Côte-Saint-Antoine , Montréal","1","2","Électricité",295900.32770288,5037366.8373846,-73.613831,45.476171
153,"4760 Avenue Cumberland , Montréal","NON","0","Électricité",293967.06194151,5036355.1497122,-73.638536,45.46704
154,"5485 Chemin de la Côte-Saint-Paul , Montréal","3","0","Électricité",297262.61182708,5036338.3280882,-73.596391,45.466932
156,"2160 Avenue Madison , Montréal","NON","0","",295326.54163724,5035967.4422814,-73.621143,45.463571
157,"6230 Rue de Terrebonne , Montréal","NON","0","",294536.13821698,5036667.4698649,-73.631265,45.469859
158,"4877 Avenue Doherty , Montréal","NON","0","Électricité",293406.15150188,5035657.7923866,-73.645693,45.460756
159,"5115 Rue Rivard , Montréal","NON","1","Électricité",297829.39506986,5043110.7419239,-73.589239,45.527879
160,"5355 Avenue Clanranald , Montréal","NON","0","Électricité",294152.42641528,5038222.6000033,-73.636206,45.483847
162,"6665 Avenue McLynn , Montréal","NON","0","Électricité",293232.63161426,5038894.114834,-73.647988,45.489875
164,"3501 Avenue Marcil , Montréal","NON","0","Électricité",295824.99580509,5037008.5527944,-73.614788,45.472946
165,"999 Avenue d' Oxford , Montréal","NON","0","Électricité",296352.56653916,5036513.9550439,-73.608032,45.468502
167," Avenue de Hampton , Montréal","NON","0","Électricité",294325.88856467,5037098.1114407,-73.633963,45.473731
168,"5380 Rue Eadie , Montréal","NON","1","Électricité",297814.58108887,5036114.2064506,-73.589329,45.464921
170,"955 Rue de Louvain E, Montréal","NON","0","",293185.35224952,5046156.4059644,-73.648765,45.555223
171,"2000 Rue Saint-Antoine E, Montréal","NON","0","Électricité",301177.21455318,5042491.9221806,-73.546375,45.522336
173,"2558 Boulevard de Maisonneuve E, Montréal","NON","0","",301151.74374399,5043428.3225844,-73.546708,45.530762
175,"2235 Rue Michel-Jurdant E, Montréal","NON","?","",295356.67274669,5046679.8565004,-73.620964,45.559966
177,"3616 Rue Hochelaga , Montréal","NON","0","Électricité",300833.60607865,5045264.289836,-73.550796,45.547281
178,"3100 Rue Rachel , Montréal","NON","0","",300056.46595541,5044804.4154379,-73.560744,45.543138
181,"2300 Rue Dézéry , Montréal","NON","0","",300635.19276416,5044683.8738003,-73.553332,45.542057
182,"1855 Avenue Émile-Legrand , Montréal","NON","0","Électricité",303263.10721006,5048970.4676451,-73.519694,45.58064
183,"3131 Boulevard Rosemont , Montréal","NON","1","Électricité",298371.88701307,5045786.9902996,-73.582329,45.551966
185,"1275 Rue Alexandre-DeSève , Montréal","NON","0","Électricité",300699.34818965,5042351.5186255,-73.552491,45.52107
186,"10550 Rue De Saint-Firmin , Montréal","NON","0","Électricité",292711.11514636,5047971.6512154,-73.654884,45.571549
188,"6405 16e Avenue , Montréal","NON","0","",298467.27882276,5046461.9054585,-73.581116,45.55804
189,"6041 12e Avenue , Montréal","NON","0","Électricité",298373.43769705,5046156.7159943,-73.582314,45.555293
190,"8100 Boulevard Saint-Michel , Montréal","NON","0","Électricité",296201.45733436,5047092.3863277,-73.61015,45.563689
191,"5375 1re Avenue , Montréal","NON","0","Électricité",298855.27975037,5045050.7092161,-73.576129,45.545345
192,"6490 30e Avenue , Montréal","NON","0","Électricité",298910.16406525,5047446.2104873,-73.575455,45.566901
194,"7601 Rue François-Perrault , Montréal","1","1","Électricité",296841.84857625,5046940.9517076,-73.601944,45.562334
195,"6633 6e Avenue , Montréal","1","0","Électricité",297645.24309899,5045949.8060184,-73.591638,45.553424
196,"3440 Rue Jarry E, Montréal","3","0","Électricité",296444.34558511,5047294.535844,-73.607042,45.565511
197,"5220 Boulevard Rosemont , Montréal","NON","0","Électricité",299976.65522039,5047941.3882937,-73.561797,45.571365
199,"6244 35e Avenue , Montréal","NON","0","",299273.16433785,5047664.0315166,-73.570807,45.568864
200,"2590 Rue Masson , Montréal","NON","0","Mazout no. 2",298878.8616945,5044971.5615748,-73.575826,45.544633
201,"2560 Rue Masson , Montréal","NON","0","Électricité",298804.49485004,5044940.6285884,-73.576778,45.544354
