"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
699,"1310 Rue des Carrières , Montréal","NON","0","",297686.00629168,5044026.8503687,-73.591088,45.536121
701,"4455 Boulevard Pie-IX , Montréal","NON","0","",300322.67220408,5046222.0323002,-73.557348,45.555896
702," Rue des Carrières , Montréal","NON","0","",297773.62818484,5044023.3100269,-73.589966,45.53609
703,"1350 Rue des Carrières , Montréal","NON","0","",297911.35861615,5044132.8406014,-73.588204,45.537077
704,"969 Rue de Louvain E, Montréal","NON","0","",293176.94721242,5046215.1016311,-73.648874,45.555751
706,"1501 Rue Bercy , Montréal","NON","?","",301167.6465031,5043771.4857147,-73.546507,45.53385
708,"999 Rue de Louvain E, Montréal","NON","0","",293245.49899196,5046345.4442149,-73.647999,45.556925
709,"5290 Chemin de la Côte-des-Neiges , Montréal","2","2","Électricité",295248.72699542,5039564.2895353,-73.622208,45.495936
710,"4280 Rue De Bullion , Montréal","NON","0","",298351.30745707,5042250.1388379,-73.582546,45.52014
712,"1870 Rue Davidson , Montréal","1","0","Électricité",301266.66757317,5044717.3770348,-73.545246,45.542362
716,"8855 Avenue Papineau , Montréal","NON","0","",294770.11828317,5046465.1757743,-73.628473,45.558026
717,"5670 Rue Chauveau , Montréal","NON","0","",301186.13098607,5047928.0170028,-73.546301,45.571252
718,"6040 Avenue De Gaspé , Montréal","NON","?","",296729.32500792,5043340.3240887,-73.603326,45.529933
720,"2060 Rue Dickson , Montréal","NON","0","",302266.09989451,5047463.0621142,-73.532462,45.567073
722,"955 Rue de Louvain E, Montréal","NON","0","",293153.62096618,5046350.3946929,-73.649176,45.556968
723," Rue des Carrières , Montréal","NON","0","",297880.56764118,5044252.1121163,-73.5886,45.53815
724,"2160 Avenue Madison , Montréal","NON","0","",295295.00006523,5035898.6956443,-73.621545,45.462952
728,"6000 Rue Notre-Dame O, Montréal","NON","?","",296166.07204569,5035658.4024455,-73.610402,45.460801
729,"3701 Rue Jarry E, Montréal","NON","0","",296372.82441072,5047566.3520862,-73.607963,45.567956
730,"4180 Chemin de la Côte-des-Neiges , Montréal","NON","0","",296820.66689296,5039429.4065132,-73.602093,45.494742
731,"987 Rue de la Commune O, Montréal","NON","0","",300593.85218914,5039395.6232516,-73.553816,45.494471
732,"390 Rue de Port-Royal E, Montréal","NON","?","",292660.91587669,5045424.2652806,-73.655464,45.548626
733,"5380 Rue Eadie , Montréal","NON","0","",297836.96702674,5036059.6211807,-73.589042,45.46443
734,"8685 Avenue de l' Épée (MTL) , Montréal","NON","?","",293477.57369644,5043863.674615,-73.644969,45.534597
736,"5425 Rue de Mentana , Montréal","NON","0","",297633.61296915,5043630.5021036,-73.591753,45.532554
737,"15839 Rue Sherbrooke E, Montréal","NON","0","",305069.62105275,5061609.7878952,-73.496538,45.694373
739,"7944 Rue Hochelaga , Montréal","NON","0","",302979.76920274,5050383.5940739,-73.52333,45.593355
743,"6100 Rue De Pontgravé , Montréal","NON","0","",288083.9153935,5042796.2015569,-73.713991,45.524883
744,"999 Boulevard Henri-Bourassa O, Montréal","NON","0","",290725.26635111,5044606.2763087,-73.68023,45.541229
745,"1501 Rue Bercy , Montréal","NON","?","Électricité",301125.37386802,5043746.173271,-73.547048,45.533622
747,"75 Rue du Square-Sir-George-Étienne-Cartier ( , Montréal","1","0","Électricité",298265.08777815,5037014.5433727,-73.58358,45.473027
749,"6595 9e Avenue , Montréal","NON","0","",297725.90341088,5045954.8265031,-73.590605,45.55347
750,"1501 Rue Bercy , Montréal","NON","?","",301150.81168394,5043836.2819704,-73.546723,45.534433
751,"4220 Avenue de l' Esplanade , Montréal","NON","0","Électricité",298193.59959704,5041674.8732995,-73.584557,45.514962
755,"5319 Avenue Notre-Dame-de-Grâce , Montréal","NON","0","Électricité",295706.48395714,5037507.5809725,-73.616313,45.477435
756," Rue Saint-Hubert , Montréal","NON","?","",294139.46005775,5045633.945524,-73.636533,45.550537
757,"7920 Boulevard Saint-Laurent , Montréal","NON","1","Électricité",294737.77662421,5044213.4783865,-73.628841,45.537764
761,"3535 36e Avenue , Montréal","NON","0","Électricité",304028.21303582,5057911.7408711,-73.509904,45.661097
762,"14201 Rue Sherbrooke E, Montréal","NON","0","Électricité",304403.8992231,5059153.5107565,-73.505084,45.672271
763,"1515 Boulevard du Tricentenaire , Montréal","1","1","Électricité",304812.85912938,5056884.4816954,-73.499835,45.651854
764,"490 85e Avenue , Montréal","NON","0","Électricité",305751.51783605,5061299.3479241,-73.487783,45.691579
766,"13980 Rue Notre-Dame E, Montréal","NON","0","Électricité",305320.33695827,5058604.7377758,-73.493322,45.667333
768,"14002 Rue Notre-Dame E, Montréal","NON","0","",305327.01809669,5058837.7902756,-73.493236,45.66943
770,"1501 Rue Bercy , Montréal","NON","0","",301180.01073334,5043821.600553,-73.546349,45.534301
772,"1060 Boulevard Saint-Jean-Baptiste , Montréal","NON","0","Électricité",304828.91860655,5055709.3582443,-73.499629,45.64128
773,"1050 Boulevard Saint-Jean-Baptiste , Montréal","NON","0","Électricité",304870.54787274,5055700.1373541,-73.499095,45.641197
776,"13050 Rue Prince-Albert , Montréal","1","0","Électricité",305380.94560657,5057099.6624698,-73.492546,45.65379
779,"3535 36e Avenue , Montréal","NON","0","",304059.38343347,5057945.2941105,-73.509504,45.661399
781,"1191 Rue Peel , Montréal","NON","0","",299200.04298957,5039983.369995,-73.571656,45.49975
783,"3161 Rue Joseph , Montréal","1","0","",299129.03321096,5036990.4810496,-73.57253,45.472818
784,"3161 Rue Joseph , Montréal","NON","0","",299184.95681404,5036918.7441239,-73.571814,45.472173
785,"3161 Rue Joseph , Montréal","NON","0","",299016.41891112,5037047.6965735,-73.573971,45.473332
786,"3161 Rue Joseph , Montréal","NON","0","",299014.73625403,5037000.9120567,-73.573992,45.472911
787,"3161 Rue Joseph , Montréal","NON","0","",298939.90750371,5036833.1758628,-73.574947,45.471401
788,"3161 Rue Joseph , Montréal","NON","0","",298978.7653347,5036831.1456668,-73.57445,45.471383
789,"3161 Rue Joseph , Montréal","NON","0","",298780.67370466,5036788.1015111,-73.576983,45.470994
790,"3161 Rue Joseph , Montréal","NON","0","",298738.82173385,5036685.5716125,-73.577517,45.470071
791,"3161 Rue Joseph , Montréal","NON","?","",298929.20943391,5036682.6113267,-73.575082,45.470046
792,"3161 Rue Joseph , Montréal","NON","0","",298915.27802306,5036668.8399971,-73.57526,45.469922
793," Avenue Atwater , Montréal","NON","0","",299178.00348109,5037016.5535668,-73.571904,45.473053
794,"3075 Rue Saint-Patrick , Montréal","NON","0","",298892.19922638,5037487.5590395,-73.575565,45.477289
795,"5350 Rue Lafond , Montréal","NON","?","Électricité",299243.89105358,5045808.2623532,-73.571161,45.552165
796,"3161 Rue Joseph , Montréal","NON","0","",298939.54457767,5037033.4351966,-73.574954,45.473203
800,"6700 Rue Notre-Dame E, Montréal","NON","0","",303616.41570778,5048295.0424369,-73.515165,45.574563
801,"6700 Rue Notre-Dame E, Montréal","NON","0","",303645.60650886,5048276.9206873,-73.514791,45.5744
802,"6700 Rue Notre-Dame E, Montréal","NON","0","",303643.74238876,5048332.0460093,-73.514815,45.574896
803,"6700 Rue Notre-Dame E, Montréal","NON","0","",303594.24422621,5048273.3803455,-73.515449,45.574368
804," Rue de la Commune O, Montréal","NON","?","",300626.37531111,5039400.4937218,-73.5534,45.494515
807,"4601 Rue Sherbrooke E, Montréal","1","0","",300482.00498296,5046870.3748938,-73.555313,45.561731
810,"8970 Boulevard LaSalle , Lasalle","NON","0","",294536.92180729,5030629.9069746,-73.631129,45.41553
811,"8105 Rue Hochelaga , Montréal","1","2","Électricité",302941.4557608,5050622.9771849,-73.523822,45.595509
812,"2787 Avenue Parkville , Montréal","NON","0","",302001.35359831,5049088.0389959,-73.535863,45.581694
814,"3701 Rue Jarry E, Montréal","NON","0","",295010.0948773,5048501.0623268,-73.62544,45.576349
815," Rue Wellington , Montréal","NON","0","",300346.04794024,5038884.4839042,-73.556982,45.48987
818,"5780 Rue Dudemaine , Montréal","NON","?","",288590.42816906,5042737.0758487,-73.707505,45.524363
825," Rue De Salaberry , Montréal","NON","0","",289039.01300001,5044086.7461512,-73.701806,45.536518
826," Rue Saint-Joseph , Lachine","NON","0","",292564.14659772,5033219.2969646,-73.656399,45.438799
827," Rue Jarry E, Montréal","NON","0","",296087.6222833,5047578.5232613,-73.611617,45.568062
828,"545 Rue Sainte-Marguerite , Montréal","NON","0","",297973.22100895,5037313.7922634,-73.587317,45.475717
831,"1500 Avenue Egan , Montréal","NON","?","",298130.12878203,5034728.8527031,-73.585275,45.452458
832," Boulevard De La Vérendrye , Montréal","NON","?","",298407.69296602,5035391.5666841,-73.581735,45.458424
834,"6100 Rue De Pontgravé , Montréal","NON","0","",288043.63060331,5042715.2937458,-73.714504,45.524154
835," Avenue Marcil , Montréal","NON","?","",295799.98690177,5036963.3584311,-73.615107,45.472539
836,"266 Avenue des Érables (IBZ) , Montréal","NON","?","",276463.90623565,5041858.0709861,-73.862688,45.516066
843," Rue Wellington , Montréal","NON","0","",300327.74492029,5038983.9635084,-73.557217,45.490765
844," Rue Sauvé O, Montréal","NON","0","",291913.01604444,5044542.4801496,-73.665019,45.540678
847," , Montréal","NON","?","",286343.21488842,5038904.8058662,-73.736128,45.489823
851,"3902 Chemin du Bois-Franc (SLR) , Montréal","NON","?","",286875.96556684,5040430.9832094,-73.729368,45.50357
852,"1365 Avenue O'Brien (SLR) , Montréal","NON","?","",290339.5584562,5042167.8108896,-73.685097,45.519279
854,"8919 Rue De Grosbois , Montréal","NON","?","",302185.57155573,5052015.9616692,-73.533518,45.608041
857,"5800 Boulevard Pierre-Bernard , Montréal","NON","?","",301946.14759898,5052086.7485032,-73.536588,45.608677
858,"3600 Avenue Laurier E, Montréal","NON","0","",299410.54009145,5045939.8150539,-73.569028,45.55335
860,"545 Avenue Sainte-Croix (SLR) , Montréal","NON","?","",291522.82106398,5041833.138579,-73.669942,45.516291
862,"1690 Rue Wellington , Montréal","NON","0","",300264.78550106,5038061.9644949,-73.558014,45.482468
863,"6534 9e Avenue , Montréal","NON","0","",297863.09770146,5045966.0075826,-73.588848,45.553572
864,"10851 Avenue Saint-Charles , Montréal","6","1","Électricité",291680.4381925,5046886.5164522,-73.66806,45.561766
867,"660 Rue Villeray , Montréal","1","0","Électricité",295315.06822545,5044824.1373419,-73.621461,45.543267
868,"12085 Rue Notre-Dame E, Montréal","1","1","Électricité",305545.87074576,5055694.066768,-73.490432,45.641142
869,"5550 Rue Angers , Montréal","2","1","Électricité",298220.90978138,5035895.9553798,-73.58413,45.462961
871,"1131 Rue D'Argenson , Montréal","NON","0","",299202.484492,5037373.5880363,-73.571595,45.476266
873,"2370 Rue de l' Acajou (SLR) , Montréal","NON","?","",288688.53367571,5041334.5704453,-73.706203,45.511745
874,"3161 Rue Joseph , Montréal","NON","?","",298785.25977004,5036598.3931959,-73.576922,45.469287
877,"999 Rue Dupuis , Montréal","NON","?","",298787.24761493,5036633.9566294,-73.576897,45.469607
878,"1092 Rue Clark , Montréal","NON","?","",300023.5799074,5040885.7371131,-73.561127,45.507876
879,"1455 Rue Bercy , Montréal","NON","?","",301285.0530763,5043669.845902,-73.545003,45.532936
881,"","NON","?","",291006.78972824,5041090.2268554,-73.676526,45.509596
882," Rue Gohier (SLR) , Montréal","NON","?","",290355.87363126,5041516.878046,-73.684869,45.513422
883,"3161 Rue Joseph , Montréal","NON","0","",299013.24330829,5036910.3433128,-73.57401,45.472096
884,"14678 Rue Notre-Dame E, Montréal","1","0","Électricité",305483.5464471,5059631.0768626,-73.491226,45.676568
885,"11575 26e Avenue , Montréal","NON","0","Électricité",298344.85727158,5054548.246146,-73.582791,45.630802
886,"3655 Boulevard Saint-Jean-Baptiste , Montréal","NON","0","Électricité",303413.68027412,5056152.4910261,-73.517785,45.645266
887,"2235 Rue Michel-Jurdant , Montréal","NON","0","",294632.51157664,5046725.2208801,-73.630241,45.560364
889,"12515 Boulevard Rodolphe-Forget , Montréal","NON","0","Électricité",298624.57426684,5056797.7433213,-73.579232,45.651046
890,"4240 Rue Ontario E, Montréal","1","0","Électricité",301669.27627379,5045743.7961294,-73.540097,45.5516
891,"1301 Rue Sherbrooke E, Montréal","1","2","Électricité",299639.45568974,5042702.1424761,-73.566062,45.524218
893," Rue Bourgoin (SLR) , Montréal","NON","?","",289308.1721469,5040650.7744289,-73.698251,45.505606
894," Rue Dorais (SLR) , Montréal","NON","?","",290263.64917608,5040121.7233522,-73.686008,45.500866
895," Rue Cartier (SLR) , Montréal","NON","?","",291322.91480374,5041044.8624757,-73.672479,45.509194
896," Rue Couvrette (SLR) , Montréal","NON","?","",291095.26119826,5042816.2334909,-73.675442,45.525129
897," Boulevard Lebeau (SLR) , Montréal","NON","?","",291635.43536382,5043113.3521759,-73.668535,45.527813
898," Rue O'Grady (SLR) , Montréal","NON","?","",289444.07145139,5039822.5144654,-73.696486,45.498156
899," , Montréal","NON","?","",288169.82988461,5041316.9187411,-73.712841,45.511574
933," , Montréal","NON","?","",297852.17692705,5041887.5038277,-73.58893,45.516872
963,"4101 Rue Sherbrooke E, Montréal","NON","0","",300438.17341559,5046375.7571414,-73.55587,45.55728
976,"2275 Boulevard Saint-Joseph E, Montréal","1","1","Électricité",298856.02209908,5044439.7102278,-73.576112,45.539847
977,"10100 Avenue Larose , Montréal","1","0","Électricité",293756.89477239,5048483.5906401,-73.641497,45.576173
978,"10300 Rue Lajeunesse , Montréal","3","0","Électricité",292097.36597497,5045952.5962878,-73.662695,45.55337
979,"4581 Rue Sherbrooke E, Montréal","3","1","",300279.75620012,5046790.1671502,-73.557903,45.561008
981,"4101 Rue Sherbrooke E, Montréal","NON","0","",300143.7991574,5046728.4811948,-73.559644,45.560452
983,"4101 Rue Sherbrooke E, Montréal","NON","0","",300066.65262942,5046704.8689152,-73.560632,45.560239
986,"14001 Rue Notre-Dame E, Montréal","NON","0","Électricité",305200.49713095,5058674.9745567,-73.49486,45.667965
987,"6000 Rue Notre-Dame O, Montréal","NON","0","Électricité",296240.71933299,5035685.3050428,-73.609448,45.461044
990," Avenue Larose , Montréal","NON","?","",293795.74435506,5048475.8598937,-73.640999,45.576104
992," Rue de l' Everest (SLR) , Montréal","NON","?","",288975.59167492,5041361.063003,-73.70253,45.51199
993," Boulevard Cavendish (SLR) , Montréal","NON","?","",287792.93944275,5040721.1512233,-73.717644,45.506204
994,"932 Rue Notre-Dame O, Montréal","NON","?","",299976.80369013,5039711.2337219,-73.561714,45.497307
995,"22 Rue Notre-Dame O, Montréal","NON","?","",300461.6151383,5040642.7136507,-73.555519,45.505692
997,"4101 Rue Sherbrooke E, Montréal","NON","?","",300278.46946235,5046418.4412623,-73.557916,45.557663
998,"4101 Rue Sherbrooke E, Montréal","NON","?","",300245.03902529,5046393.8988929,-73.558344,45.557442
1024,"75 Chemin Macdonald , Montréal","NON","0","",302209.84635866,5041289.6361071,-73.53315,45.511522
1025,"65 Chemin Macdonald , Montréal","NON","0","",302246.66685485,5041323.8494102,-73.532679,45.51183
1033,"6400 Avenue de Monkland , Montréal","NON","?","",294549.06333292,5036251.929747,-73.631091,45.46612
1034," Rue La Fontaine , Montréal","NON","?","",300311.66894648,5042626.0551303,-73.557456,45.523538
1035," Rue Plessis , Montréal","NON","?","",300197.05030511,5042597.8024027,-73.558923,45.523283
1036," Boulevard de Maisonneuve , Montréal","NON","?","",299809.58551825,5041421.998886,-73.563871,45.5127
1037,"1690 Rue Amherst , Montréal","NON","?","",300099.77787869,5042054.2199231,-73.560163,45.518391
1038," Rue Lucien-L'Allier , Montréal","NON","?","",299553.07104445,5039268.1709469,-73.567131,45.493317
1039," Rue Larivière , Montréal","NON","?","",300370.0752936,5043580.5172779,-73.556717,45.532127
1041," Rue Saint-Jacques , Montréal","NON","?","",299559.57896817,5039476.5310628,-73.56705,45.495192
1042,"975 Boulevard Roméo-Vachon (DVL) , Montréal","NON","?","",285170.9802832,5035351.7228374,-73.750983,45.457819
1043,"12090 Rue Notre-Dame E, Montréal","NON","?","Gaz naturel",305668.73770617,5055622.5198606,-73.488856,45.640498
1044," Rue Louis-Roch (IBZ) , Montréal","NON","?","",275332.03065549,5038276.355193,-73.87696,45.48379
1045," Chemin Dutour (IBZ) , Montréal","NON","?","",276624.22881281,5041423.2590076,-73.860611,45.51216
1046," Chemin Dutour (IBZ) , Montréal","NON","?","",276776.93819151,5041623.3983299,-73.858668,45.513967
1047,"5090 Rue De Salaberry , Montréal","NON","?","",288607.19700167,5043573.8566348,-73.707318,45.531893
1048,"2331 Rue Fleury E, Montréal","NON","?","",293162.99930493,5048245.7376768,-73.649101,45.574023
1049," Montée de l' Église (IBZ) , Montréal","NON","?","",274848.95960264,5038661.8324085,-73.883163,45.487238
1050,"3705 Rue Saint-Patrick , Montréal","NON","?","",298652.7175314,5037076.4993542,-73.578623,45.473588
1051,"6700 Rue Notre-Dame E, Montréal","NON","?","",303620.32541101,5048341.8269536,-73.515115,45.574984
1052," 87e Avenue , Montréal","NON","0","",301533.67390878,5058935.4197011,-73.541922,45.670301
1053,"850 Rue Maheu (SLR) , Montréal","NON","?","",289442.96617664,5039819.0741332,-73.6965,45.498125
1056,"206 Rue Young , Montréal","NON","?","",300197.39673451,5039229.2071851,-73.558887,45.492971
1058,"21253 Boulevard Gouin O, Montréal","NON","?","",270463.43559763,5035180.1362718,-73.939022,45.455707
1059,"1230 Rue Smith , Montréal","NON","?","",300391.88384914,5039041.7090833,-73.556397,45.491285
1061,"6150 Avenue Royalmount , Montréal","NON","?","",291113.8199161,5038426.2896683,-73.675082,45.485627
1062,"7760 Boulevard Métropolitain (ANJ) E, Montréal","NON","?","",299832.85402626,5051837.6844576,-73.563679,45.606424
1063,"1425 Rue Jeanne-Mance , Montréal","NON","?","",299588.53881631,5040842.7429623,-73.566694,45.507486
1064,"1485 Rue Jeanne-Mance , Montréal","NON","?","",299518.87351371,5040888.8074095,-73.567586,45.5079
1065,"4212 Rue Saint-Antoine O, Montréal","NON","?","",297816.98959803,5037572.6772572,-73.589319,45.478045
1066,"307 Rue Sainte-Catherine O, Montréal","NON","?","",299576.51276716,5040760.0749812,-73.566847,45.506742
1068,"3161 Rue Joseph (VRD) , Montréal","NON","?","",298746.99581802,5036649.3281134,-73.577412,45.469745
1069," Rue Larivière , Montréal","NON","?","",300373.43235945,5043578.5170848,-73.556674,45.532109
1070,"","NON","?","",279600.93992592,5031967.6361243,-73.822029,45.427189
1071," Rue du Fort-Rolland (LCH) , Montréal","NON","?","",289531.56961976,5032857.642049,-73.69515,45.435485
1073,"180 Avenue Duke-of-Kent (PCL) , Montréal","NON","?","",280124.30401728,5034764.7261664,-73.815481,45.452377
1074,"8931 Avenue Papineau , Montréal","NON","0","",294248.79152661,5046800.5381515,-73.635158,45.561036
1273,"2269 Rue Viau , Montréal","NON","?","",301763.86799653,5046793.717493,-73.538892,45.561048
1275," , Montréal","NON","0","",302015.00456632,5041339.290901,-73.535644,45.511968
1314," , Montréal","NON","0","",302195.32931715,5040940.032355,-73.533334,45.508376
1403,"101 Circuit Gilles-Villeneuve , Montréal","NON","0","",302739.44617921,5040118.012994,-73.526367,45.500981
1404,"111 Circuit Gilles-Villeneuve , Montréal","NON","0","",302759.72879573,5040005.6521462,-73.526107,45.49997
1405,"1 Circuit Gilles-Villeneuve , Montréal","NON","0","",302532.77629737,5040420.4721946,-73.529013,45.503702
1414," , Montréal","NON","0","",302645.24212747,5040005.142097,-73.527572,45.499965
1418,"55 Chemin des Floralies , Montréal","NON","0","",302578.01007898,5040599.9295201,-73.528435,45.505317
1427,"130 Chemin du Chenal-Le Moyne , Montréal","NON","0","",302687.41578272,5041775.2129867,-73.52704,45.515893
1430,"140 Chemin du Chenal-Le Moyne , Montréal","NON","0","",302668.5188838,5041828.5581368,-73.527282,45.516373
1431," , Montréal","NON","0","",302856.8445041,5041685.0342804,-73.524871,45.515082
1435," , Montréal","NON","0","",302615.33372263,5041436.5102869,-73.527961,45.512845
1437," , Montréal","NON","?","",302577.18524708,5041154.3630473,-73.528448,45.510306
1438," , Montréal","NON","?","",302903.068084,5040808.8596911,-73.524276,45.507198
1440," , Montréal","NON","0","",302668.84056824,5040704.139581,-73.527273,45.506255
1443," , Montréal","NON","?","",302659.2065316,5040637.9131872,-73.527396,45.505659
1445," , Montréal","NON","0","",303084.11043859,5039648.1676333,-73.521955,45.496754
1446," , Montréal","NON","0","",303128.29668368,5039746.9471698,-73.52139,45.497643
1447," , Montréal","NON","0","",303007.00515221,5040317.7422766,-73.522944,45.502779
1448," , Montréal","NON","?","",302726.20762716,5040483.308261,-73.526538,45.504268
1449,"141 Circuit Gilles-Villeneuve , Montréal","NON","0","",302946.99038288,5039791.4514664,-73.52371,45.498043
1450," , Montréal","NON","0","",302586.58008246,5040545.8042947,-73.528325,45.50483
1451," , Montréal","NON","?","",302603.20044532,5040689.2681452,-73.528113,45.506121
1453," , Montréal","NON","0","",302756.56968954,5041087.4065831,-73.526152,45.509704
1455," , Montréal","NON","?","",302757.15532019,5041448.4614408,-73.526146,45.512953
1457," , Montréal","NON","0","",302767.04505472,5042083.2427251,-73.526022,45.518665
1459," , Montréal","NON","0","",302974.48203024,5039996.8112927,-73.523359,45.499891
1468,"350 Circuit Gilles-Villeneuve , Montréal","NON","0","",302645.23387915,5041359.9328939,-73.527578,45.512156
1469," , Montréal","NON","?","",302799.29598216,5041293.5364837,-73.525606,45.511559
1474," , Montréal","NON","?","",303002.32835531,5039786.9910358,-73.523002,45.498003
1476," , Montréal","NON","?","",302757.48525295,5040077.5590884,-73.526136,45.500617
1485," , Montréal","NON","0","",302624.98425591,5041776.563117,-73.527839,45.515905
1486," , Montréal","NON","?","",302615.13576297,5041756.1211435,-73.527965,45.515721
1496,"230 Circuit Gilles-Villeneuve , Montréal","NON","0","",303057.95501891,5040029.4544442,-73.522291,45.500185
1624," , Montréal","NON","?","",303113.92811191,5039791.5114722,-73.521574,45.498044
1642," Rue Chabanel , Montréal","NON","?","",293748.06907102,5046619.920714,-73.641568,45.559403
1643," Boulevard Gouin E, Montréal","NON","?","",292150.19645842,5047909.96526,-73.662069,45.570984
1644," Boulevard Gouin E, Montréal","NON","?","",292182.80206358,5048405.4430954,-73.661664,45.575443
1645," Avenue Saint-Kevin , Montréal","NON","?","",294320.02400983,5039018.7868703,-73.634079,45.491014
1646," Avenue Decelles , Montréal","NON","?","",295596.20393158,5039563.0994204,-73.617762,45.49593
1647," Rue Gilford , Montréal","NON","?","",298047.51361853,5042997.3709786,-73.586445,45.526861
1648," Rue Prince-Arthur , Montréal","NON","?","",299100.65899346,5041470.8336007,-73.572945,45.513134
1649," Rue Sewell , Montréal","NON","?","",298826.27866062,5041655.7914572,-73.576459,45.514796
1650," Rue Roy , Montréal","NON","?","",299304.8543796,5042404.7037602,-73.570342,45.521539
1651," Rue du Square-Saint-Louis (MTL) , Montréal","NON","?","",299363.27722335,5041939.7988764,-73.569589,45.517356
1652," Rue Sherbrooke , Montréal","NON","?","",299659.15267561,5042434.7466607,-73.565807,45.521812
1653," Rue Rivard , Montréal","NON","?","",298444.4227307,5042704.3526895,-73.58136,45.524228
1654," Rue Sherbrooke E, Montréal","NON","?","",300228.65786367,5046731.8615212,-73.558557,45.560483
1655," Rue Jean-Talon E, Montréal","NON","?","",295596.05546184,5043877.4259426,-73.617845,45.534752
1656," Rue Sherbrooke E, Montréal","NON","?","",300213.75315117,5046740.2123274,-73.558748,45.560558
1657," Rue d' Iberville (MTL) , Montréal","NON","?","",297559.03166839,5045462.2589487,-73.592735,45.549036
1658," Rue du Parc-Marguerite-Bourgeoys , Montréal","NON","?","",300112.70299462,5037282.26922,-73.559952,45.475451
1659," Avenue Atwater , Montréal","NON","?","",298902.93853777,5037683.4679533,-73.57543,45.479052
1660," Rue du Centre , Montréal","NON","?","",299060.78661923,5037343.0450876,-73.573407,45.47599
1661," Rue Favard , Montréal","NON","?","",300403.35726092,5037565.2165369,-73.556237,45.477999
1662," Rue du Sussex , Montréal","NON","?","",298477.16030897,5038829.9686411,-73.580891,45.489365
1663," Chemin des Floralies , Montréal","NON","?","",302670.95213791,5040929.1813074,-73.527247,45.50828
1664," Avenue Viger , Montréal","NON","?","",300608.41047224,5041524.8788184,-73.553648,45.513631
1665," Rue Berri , Montréal","NON","?","",300095.15882002,5041733.7289816,-73.560219,45.515507
1666," Place Jacques-Cartier , Montréal","NON","?","",300625.84741869,5040957.9940891,-73.55342,45.50853
1667," Place Jacques-Cartier , Montréal","NON","?","",300635.21750912,5040953.8736913,-73.5533,45.508493
1668," Avenue Viger E, Montréal","NON","?","",300560.99088608,5041427.8894547,-73.554254,45.512758
1670," Boulevard de Maisonneuve O, Montréal","NON","?","",299553.84638644,5041125.4902598,-73.567141,45.51003
1671," Rue Sainte-Catherine E, Montréal","NON","?","",300135.11367745,5041661.7920365,-73.559707,45.51486
1672," , Montréal","NON","?","",301857.91533022,5041423.5990404,-73.537655,45.512726
1673," Place D'Youville , Montréal","NON","?","",300481.84001658,5040166.5076759,-73.555256,45.501407
1674," Chemin Remembrance , Montréal","NON","?","",297457.30514968,5040136.5247812,-73.593958,45.501112
1676," Rue Berri , Montréal","NON","?","",300817.84354096,5041351.2720577,-73.550966,45.51207
1677," Rue Cartier , Montréal","NON","?","",300683.61864524,5042674.1397726,-73.552695,45.523973
1678," Avenue Bloomfield , Montréal","NON","?","",295091.48104126,5043100.270913,-73.62429,45.527752
1679," Boulevard Saint-Laurent , Montréal","NON","?","",294801.53613039,5044185.0356405,-73.628024,45.537509
1680,"4101 Rue Sherbrooke E, Montréal","NON","?","",300497.07466185,5046883.366148,-73.55512,45.561848
2000,"4350 Rue de Rouen , Montréal","NON","?","",301527.65263589,5046071.1477332,-73.541913,45.554545
2001,"4350 Rue de Rouen , Montréal","NON","?","",301500.56515616,5046083.2789044,-73.54226,45.554654
2002,"2160 Avenue Madison , Montréal","NON","?","",295314.15266204,5035944.4500617,-73.621301,45.463364
2003,"6000 Rue Notre-Dame O, Montréal","NON","?","",296273.33318647,5035749.7112608,-73.609032,45.461624
2004,"6000 Rue Notre-Dame O, Montréal","NON","?","",296281.78771349,5035756.5919251,-73.608924,45.461686
2005,"6000 Rue Notre-Dame O, Montréal","NON","?","",296305.42739585,5035595.7563974,-73.608619,45.460239
2006,"6000 Rue Notre-Dame O, Montréal","NON","?","",296279.03277493,5035626.6893838,-73.608957,45.460517
2011,"3949 Allée Robert , Montréal","NON","0","",295719.26060333,5048267.8398106,-73.616349,45.57426
2013,"959 Rue de Louvain E, Montréal","NON","0","",293160.24436637,5046134.1138122,-73.649086,45.555022
2015,"6333 Rue Saint-Jacques , Montréal","NON","0","",295473.65865562,5035929.2085902,-73.619261,45.463229
2016,"999 Boulevard Henri-Bourassa O, Montréal","NON","?","",290663.96484402,5044677.6431988,-73.681017,45.54187
2017,"2070 Rue Dickson , Montréal","NON","?","",302297.74869466,5047348.7010733,-73.532056,45.566044
2018,"2030 Rue Dickson , Montréal","NON","?","",302263.95533156,5047363.8225332,-73.532489,45.56618
2019,"2200 Rue Dickson , Montréal","NON","?","",302171.83810453,5047529.1184915,-73.53367,45.567667
2020,"2330 Rue Rachel E, Montréal","NON","?","",299773.21043128,5043899.5880823,-73.564362,45.534994
2021,"4101 Rue Sherbrooke , Montréal","NON","?","",300015.60378289,5046615.6703036,-73.561285,45.559436
2022,"1501 Rue Bercy , Montréal","NON","0","",301144.80690768,5043711.7099438,-73.546799,45.533312
2023,"1655 Rue Dudemaine , Montréal","NON","0","",290066.94326364,5044344.5110369,-73.688652,45.53886
2024,"3002A Rue Saint-Ambroise , Montréal","NON","?","",298874.76227994,5037644.7142119,-73.57579,45.478703
